Comparison Type,Fixed Factor,Group A,Group B,Metric,p_ttest,p_wilcoxon,Significant (p<0.05)
Chunking Strategy,Strategy: dense,arxiv_wholedoc,arxiv_fixed_512,nDCG@5,0.07233934759796055,0.125,False
Chunking Strategy,Strategy: dense,arxiv_wholedoc,arxiv_overlap_512_128,nDCG@5,0.006985616246121934,0.125,True
Chunking Strategy,Strategy: dense,arxiv_wholedoc,arxiv_semantic,nDCG@5,0.027851936766912447,0.125,True
Chunking Strategy,Strategy: dense,arxiv_fixed_512,arxiv_overlap_512_128,nDCG@5,0.32472324023765886,0.375,False
Chunking Strategy,Strategy: dense,arxiv_fixed_512,arxiv_semantic,nDCG@5,0.153215234932262,0.25,False
Chunking Strategy,Strategy: dense,arxiv_overlap_512_128,arxiv_semantic,nDCG@5,0.2767027356531229,0.25,False
Chunking Strategy,Strategy: hybrid,arxiv_wholedoc,arxiv_fixed_512,nDCG@5,0.16350612203025797,0.25,False
Chunking Strategy,Strategy: hybrid,arxiv_wholedoc,arxiv_overlap_512_128,nDCG@5,0.03630796340425082,0.125,True
Chunking Strategy,Strategy: hybrid,arxiv_wholedoc,arxiv_semantic,nDCG@5,0.4658824519783602,0.75,False
Chunking Strategy,Strategy: hybrid,arxiv_fixed_512,arxiv_overlap_512_128,nDCG@5,0.17693878620543085,0.25,False
Chunking Strategy,Strategy: hybrid,arxiv_fixed_512,arxiv_semantic,nDCG@5,0.6178894160231474,0.75,False
Chunking Strategy,Strategy: hybrid,arxiv_overlap_512_128,arxiv_semantic,nDCG@5,0.2957744580919001,0.375,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_wholedoc,arxiv_fixed_512,nDCG@5,0.1300323902448947,0.25,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_wholedoc,arxiv_overlap_512_128,nDCG@5,0.603673223614047,0.75,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_wholedoc,arxiv_semantic,nDCG@5,0.7147698130607023,1.0,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_fixed_512,arxiv_overlap_512_128,nDCG@5,0.08891040405672025,0.25,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_fixed_512,arxiv_semantic,nDCG@5,0.06207286287995281,0.25,False
Chunking Strategy,Strategy: hybrid_rerank,arxiv_overlap_512_128,arxiv_semantic,nDCG@5,0.22348180505183257,0.5,False
Retrieval Architecture,Collection: arxiv_wholedoc,dense,hybrid,nDCG@5,0.18169011381620936,0.5,False
Retrieval Architecture,Collection: arxiv_wholedoc,dense,hybrid_rerank,nDCG@5,0.24266119401980213,0.5,False
Retrieval Architecture,Collection: arxiv_wholedoc,hybrid,hybrid_rerank,nDCG@5,0.5218935449778479,0.75,False
Retrieval Architecture,Collection: arxiv_fixed_512,dense,hybrid,nDCG@5,0.46550834877394004,0.625,False
Retrieval Architecture,Collection: arxiv_fixed_512,dense,hybrid_rerank,nDCG@5,0.1921979883755637,0.25,False
Retrieval Architecture,Collection: arxiv_fixed_512,hybrid,hybrid_rerank,nDCG@5,0.48800501700045895,0.5,False
Retrieval Architecture,Collection: arxiv_overlap_512_128,dense,hybrid,nDCG@5,0.5118841545848181,0.625,False
Retrieval Architecture,Collection: arxiv_overlap_512_128,dense,hybrid_rerank,nDCG@5,0.5673988962899525,0.875,False
Retrieval Architecture,Collection: arxiv_overlap_512_128,hybrid,hybrid_rerank,nDCG@5,0.31686386819876705,0.25,False
Retrieval Architecture,Collection: arxiv_semantic,dense,hybrid,nDCG@5,0.07600791396791179,0.25,False
Retrieval Architecture,Collection: arxiv_semantic,dense,hybrid_rerank,nDCG@5,0.06756679365213582,0.25,False
Retrieval Architecture,Collection: arxiv_semantic,hybrid,hybrid_rerank,nDCG@5,0.9341284329690624,0.875,False
